,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Sudak,5008,16687,0,16686,1,16687,5,0
Belogorsk,4904,16477,0,16477,0,16477,4,0
Shcholkine,3069,10297,0,10296,1,10297,3,0
Staryi Krym,2805,9301,0,9301,0,9301,2,0
Alupka,2401,7958,0,7956,2,7958,2,0

,Week 7
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,119118,341815,14,341748,53,341801,119,2
Kerch,52728,151641,3,151612,26,151638,52,0
Yevpatoria,37466,107334,54,107253,27,107280,37,2
Yalta,27466,78830,161,78638,31,78669,27,7
Feodosia,23634,67783,45,67721,17,67738,23,2
Dzhankoy,13338,38270,1,38263,6,38269,13,0
Alushta,10469,29978,0,29975,3,29978,10,0
Bakhchysarai,9264,26579,0,26577,2,26579,9,0
Krasnoperekopsk,8754,25026,0,25022,4,25026,8,0
Saky,8633,24732,0,24732,0,24732,8,0
Armyansk,7477,21339,0,21335,4,21339,7,0
Sudak,5837,16719,0,16716,3,16719,5,0
Belogorsk,5723,16437,0,16434,3,16437,5,0
Shcholkine,3581,10222,0,10220,2,10222,3,0
Staryi Krym,3267,9329,0,9329,0,9329,3,0
Alupka,2797,7917,0,7913,4,7917,2,0

,Week 8
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,136059,341936,56,341787,93,341880,136,3
Kerch,60247,151515,20,151456,39,151495,60,0
Yevpatoria,42734,107279,121,107110,48,107158,42,0
Yalta,31208,78753,337,78341,75,78416,31,14
Feodosia,26950,67833,113,67680,40,67720,26,4
Dzhankoy,15236,38339,17,38314,8,38322,15,0
Alushta,11957,29948,1,29943,4,29947,11,0
Bakhchysarai,10583,26566,0,26560,6,26566,10,0
Krasnoperekopsk,9995,24976,0,24969,7,24976,10,0
Saky,9861,24745,0,24741,4,24745,9,0
Armyansk,8536,21420,0,21413,7,21420,8,0
Sudak,6667,16756,0,16754,2,16756,6,0
Belogorsk,6539,16416,0,16412,4,16416,6,0
Shcholkine,4088,10221,0,10218,3,10221,4,0
Staryi Krym,3731,9240,0,9240,0,9240,3,0
Alupka,3190,7862,0,7848,14,7862,3,0

,Week 9
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,152944,341870,178,341528,164,341692,153,8
Kerch,67735,151608,60,151474,74,151548,67,2
Yevpatoria,47924,107144,292,106769,83,106852,47,8
Yalta,34758,78753,700,77897,156,78053,34,30
Feodosia,30193,67794,254,67478,62,67540,30,7
Dzhankoy,17118,38335,72,38239,24,38263,17,4
Alushta,13440,29991,27,29954,10,29964,13,0
Bakhchysarai,11900,26577,3,26564,10,26574,11,0
Krasnoperekopsk,11233,24935,0,24924,11,24935,11,0
Saky,11087,24686,0,24682,4,24686,11,0
Armyansk,9598,21497,0,21488,9,21497,9,0
Sudak,7498,16750,0,16747,3,16750,7,0
Belogorsk,7352,16380,0,16377,3,16380,7,0
Shcholkine,4595,10189,0,10184,5,10189,4,0
Staryi Krym,4189,9219,0,9217,2,9219,4,0
Alupka,3580,7881,0,7848,33,7881,3,0

,Week 10
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,169681,341989,521,341167,301,341468,169,20
Kerch,75178,151327,217,150990,120,151110,75,4
Yevpatoria,52923,106852,609,106079,164,106243,52,32
Yalta,37923,78768,1349,77110,309,77419,37,70
Feodosia,33283,67692,553,67008,131,67139,33,21
Dzhankoy,18941,38485,193,38243,49,38292,18,7
Alushta,14897,30096,95,29968,33,30001,14,3
Bakhchysarai,13213,26625,37,26575,13,26588,13,1
Krasnoperekopsk,12468,24974,1,24960,13,24973,12,0
Saky,12310,24628,1,24620,7,24627,12,0
Armyansk,10663,21516,0,21504,12,21516,10,0
Sudak,8327,16797,0,16787,10,16797,8,0
Belogorsk,8163,16342,0,16338,4,16342,8,0
Shcholkine,5100,10141,0,10134,7,10141,5,0
Staryi Krym,4645,9223,0,9220,3,9223,4,0
Alupka,3971,7872,0,7804,68,7872,3,0

,Week 11
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,186047,341916,1453,339964,499,340463,186,66
Kerch,82434,151237,663,150370,204,150574,82,32
Yevpatoria,57569,106661,1164,105205,292,105497,57,46
Yalta,40405,78646,2478,75569,599,76168,40,95
Feodosia,36051,67641,1115,66271,255,66526,36,46
Dzhankoy,20643,38442,453,37895,94,37989,20,19
Alushta,16286,30101,241,29771,89,29860,16,20
Bakhchysarai,14492,26624,151,26439,34,26473,14,6
Krasnoperekopsk,13703,25091,31,25045,15,25060,13,0
Saky,13527,24609,10,24589,10,24599,13,0
Armyansk,11727,21489,0,21471,18,21489,11,0
Sudak,9158,16773,0,16761,12,16773,9,0
Belogorsk,8972,16366,0,16360,6,16366,8,0
Shcholkine,5602,10126,0,10119,7,10126,5,0
Staryi Krym,5102,9285,0,9280,5,9285,5,0
Alupka,4360,7850,0,7718,132,7850,4,0

,Week 12
