,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Shcholkine,5957,9918,1183,6505,2230,8735,5,44
Staryi Krym,2192,8734,1337,4574,2823,7397,2,56
Alupka,5202,7449,1145,3331,2973,6304,5,54

,Week 28
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-245503,313715,11777,46983,254955,301938,0,539
Kerch,-69539,139600,3729,18276,117595,135871,0,162
Yevpatoria,-60171,98180,2721,6524,88935,95459,0,114
Yalta,-81915,71450,285,2413,68752,71165,0,9
Feodosia,-40393,61482,1213,4804,55465,60269,0,43
Dzhankoy,-25638,35451,1283,3495,30673,34168,0,55
Alushta,-33637,27055,1222,1652,24181,25833,0,54
Bakhchysarai,-16049,24501,2488,3967,18046,22013,0,108
Krasnoperekopsk,-11740,22837,3011,5220,14606,19826,0,149
Saky,-5745,22443,3737,7104,11602,18706,0,166
Armyansk,451,20328,3918,8268,8142,16410,0,163
Sudak,5614,15964,2543,8458,4963,13421,5,102
Belogorsk,-3361,15145,2532,6003,6610,12613,0,117
Shcholkine,5206,9810,1298,5986,2526,8512,5,47
Staryi Krym,1224,8669,1360,4228,3081,7309,1,52
Alupka,4368,7343,999,3118,3226,6344,4,53

,Week 29
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-242183,313193,10564,43107,259522,302629,0,451
Kerch,-66475,139543,3614,16682,119247,135929,0,159
Yevpatoria,-58119,97984,2277,5753,89954,95707,0,91
Yalta,-78641,71416,241,2436,68739,71175,0,13
Feodosia,-38593,61482,960,4015,56507,60522,0,40
Dzhankoy,-25212,35393,948,2886,31559,34445,0,41
Alushta,-33568,27034,660,1384,24990,26374,0,25
Bakhchysarai,-17437,24398,1805,3061,19532,22593,0,69
Krasnoperekopsk,-13759,22682,2599,3799,16284,20083,0,104
Saky,-8547,22312,3388,5275,13649,18924,0,142
Armyansk,-2645,20183,4047,6785,9351,16136,0,160
Sudak,3739,15856,3032,7084,5740,12824,3,117
Belogorsk,-5263,15061,2549,5352,7160,12512,0,109
Shcholkine,4330,9742,1422,5508,2812,8320,4,61
Staryi Krym,229,8634,1377,3925,3332,7257,0,50
Alupka,3683,7273,845,3033,3395,6428,3,28

,Week 30
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-237616,312708,9566,39357,263785,303142,0,393
Kerch,-63292,139495,3221,15286,120988,136274,0,138
Yevpatoria,-55611,97959,1894,5217,90848,96065,0,70
Yalta,-75324,71351,241,2409,68701,71110,0,6
Feodosia,-36527,61465,836,3400,57229,60629,0,29
Dzhankoy,-24438,35362,746,2376,32240,34616,0,23
Alushta,-32909,27026,381,1243,25402,26645,0,15
Bakhchysarai,-18112,24322,1232,2443,20647,23090,0,56
Krasnoperekopsk,-15354,22527,2024,2775,17728,20503,0,81
Saky,-10989,22189,2852,3768,15569,19337,0,120
Armyansk,-5885,20019,3852,5236,10931,16167,0,161
Sudak,1347,15679,3010,6049,6620,12669,1,146
Belogorsk,-7186,14970,2663,4617,7690,12307,0,117
Shcholkine,3321,9686,1547,5016,3123,8139,3,76
Staryi Krym,-784,8513,1372,3617,3524,7141,0,53
Alupka,3156,7270,803,2963,3504,6467,3,37

,Week 31
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-232024,312001,8209,35998,267794,303792,0,346
Kerch,-59699,139430,2800,14045,122585,136630,0,119
Yevpatoria,-52702,97973,1608,4786,91579,96365,0,67
Yalta,-72009,71403,210,2440,68753,71193,0,16
Feodosia,-34331,61420,790,2858,57772,60630,0,34
Dzhankoy,-23453,35327,641,1954,32732,34686,0,20
Alushta,-31958,26984,196,1129,25659,26788,0,9
Bakhchysarai,-18190,24317,845,2015,21457,23472,0,31
Krasnoperekopsk,-16353,22453,1509,2041,18903,20944,0,60
Saky,-12874,22144,2251,2647,17246,19893,0,80
Armyansk,-8929,19961,3558,3660,12743,16403,0,140
Sudak,-1028,15495,2695,5235,7565,12800,0,133
Belogorsk,-9234,14813,2623,3951,8239,12190,0,127
Shcholkine,2179,9663,1600,4517,3546,8063,2,58
Staryi Krym,-1799,8498,1413,3331,3754,7085,0,49
Alupka,2675,7224,771,2894,3559,6453,2,23

,Week 32
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-225044,311650,7088,33096,271466,304562,0,289
Kerch,-55668,139527,2326,13051,124150,137201,0,98
Yevpatoria,-49491,97965,1339,4378,92248,96626,0,67
Yalta,-68659,71338,159,2521,68658,71179,0,11
Feodosia,-32090,61374,768,2439,58167,60606,0,19
Dzhankoy,-22360,35305,540,1617,33148,34765,0,24
Alushta,-30814,26876,99,1053,25724,26777,0,2
Bakhchysarai,-17861,24293,616,1619,22058,23677,0,20
Krasnoperekopsk,-16815,22356,1058,1531,19767,21298,0,39
Saky,-14130,22068,1647,1915,18506,20421,0,57
Armyansk,-11667,19880,2865,2388,14627,17015,0,112
Sudak,-3083,15440,2404,4439,8597,13036,0,94
Belogorsk,-11247,14709,2418,3423,8868,12291,0,111
Shcholkine,982,9550,1649,3913,3988,7901,0,64
Staryi Krym,-2858,8359,1494,2945,3920,6865,0,73
Alupka,2224,7167,817,2789,3561,6350,2,35

,Week 33
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-216904,311336,6199,30474,274663,305137,0,286
Kerch,-51134,139403,1977,12040,125386,137426,0,87
Yevpatoria,-45999,97963,1122,4128,92713,96841,0,52
Yalta,-65259,71300,129,2572,68599,71171,0,5
Feodosia,-29828,61374,618,2178,58578,60756,0,21
Dzhankoy,-21162,35432,401,1409,33622,35031,0,22
Alushta,-29575,26799,52,964,25783,26747,0,1
Bakhchysarai,-17293,24243,498,1292,22453,23745,0,22
Krasnoperekopsk,-16808,22257,776,1162,20319,21481,0,31
Saky,-14756,21976,1072,1472,19432,20904,0,38
Armyansk,-13681,19763,2100,1568,16095,17663,0,88
Sudak,-4836,15410,2300,3423,9687,13110,0,98
Belogorsk,-13051,14555,2069,3105,9381,12486,0,103
Shcholkine,-271,9494,1690,3332,4472,7804,0,72
Staryi Krym,-4009,8295,1559,2505,4231,6736,0,60
Alupka,1724,7099,947,2573,3579,6152,1,42

,Week 34
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-207846,311187,5339,28134,277714,305848,0,236
Kerch,-46240,139226,1732,11175,126319,137494,0,78
Yevpatoria,-42279,97757,897,3949,92911,96860,0,38
Yalta,-61830,71419,93,2654,68672,71326,0,2
Feodosia,-27408,61301,426,2088,58787,60875,0,20
Dzhankoy,-19811,35515,266,1306,33943,35249,0,12
Alushta,-28289,26872,27,939,25906,26845,0,0
Bakhchysarai,-16604,24263,398,1057,22808,23865,0,17
Krasnoperekopsk,-16510,22131,524,912,20695,21607,0,20
Saky,-14783,21863,710,1164,19989,21153,0,33
Armyansk,-14898,19751,1279,1138,17334,18472,0,43
Sudak,-6480,15311,2054,2307,10950,13257,0,81
Belogorsk,-14495,14441,1829,2751,9861,12612,0,88
Shcholkine,-1571,9403,1543,2930,4930,7860,0,62
Staryi Krym,-5231,8239,1552,2107,4580,6687,0,66
Alupka,1083,7048,1131,2215,3702,5917,1,51

,Week 35
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-197892,310951,4636,25972,280343,306315,0,180
Kerch,-41097,139131,1528,10366,127237,137603,0,72
Yevpatoria,-38333,97597,601,3933,93063,96996,0,34
Yalta,-58357,71458,64,2679,68715,71394,0,2
Feodosia,-24790,61380,235,2094,59051,61145,0,13
Dzhankoy,-18315,35439,155,1266,34018,35284,0,6
Alushta,-26974,26883,11,908,25964,26872,0,0
Bakhchysarai,-15809,24150,290,935,22925,23860,0,14
Krasnoperekopsk,-15954,22084,288,788,21008,21796,0,13
Saky,-14435,21821,463,951,20407,21358,0,30
Armyansk,-15253,19759,720,912,18127,19039,0,31
Sudak,-7871,15287,1651,1546,12090,13636,0,63
Belogorsk,-15694,14473,1619,2361,10493,12854,0,60
Shcholkine,-2721,9388,1213,2710,5465,8175,0,46
Staryi Krym,-6448,8140,1412,1777,4951,6728,0,60
Alupka,248,6975,1247,1839,3889,5728,0,53

,Week 36
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-187213,310824,4032,24009,282783,306792,0,147
Kerch,-35745,139025,1345,9631,128049,137680,0,60
Yevpatoria,-34084,97436,394,3937,93105,97042,0,19
Yalta,-54851,71413,55,2778,68580,71358,0,2
Feodosia,-21968,61330,115,2133,59082,61215,0,3
Dzhankoy,-16705,35478,73,1271,34134,35405,0,1
Alushta,-25641,26867,6,915,25946,26861,0,0
Bakhchysarai,-14906,24071,166,851,23054,23905,0,10
Krasnoperekopsk,-15152,22149,138,742,21269,22011,0,6
Saky,-13830,21812,295,795,20722,21517,0,13
Armyansk,-15021,19748,353,819,18576,19395,0,22
Sudak,-8840,15287,1164,1066,13057,14123,0,44
Belogorsk,-16670,14440,1490,1752,11198,12950,0,63
Shcholkine,-3525,9363,1023,2518,5822,8340,0,41
Staryi Krym,-7524,8096,1202,1605,5289,6894,0,43
Alupka,-711,6915,1205,1576,4134,5710,0,60

,Week 37
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-175905,310761,3349,22441,284971,307412,0,150
Kerch,-30206,138922,1265,8883,128774,137657,0,45
Yevpatoria,-29626,97410,257,3985,93168,97153,0,8
Yalta,-51338,71405,43,2819,68543,71362,0,6
Feodosia,-19022,61211,51,2178,58982,61160,0,5
Dzhankoy,-15008,35492,28,1265,34199,35464,0,1
Alushta,-24304,26900,3,925,25972,26897,0,0
Bakhchysarai,-13876,24066,80,817,23169,23986,0,5
Krasnoperekopsk,-14189,22134,68,712,21354,22066,0,2
Saky,-13050,21782,177,720,20885,21605,0,9
Armyansk,-14405,19733,164,757,18812,19569,0,7
Sudak,-9298,15287,765,770,13752,14522,0,32
Belogorsk,-17513,14360,1132,1303,11925,13228,0,57
Shcholkine,-4131,9334,966,2254,6114,8368,0,49
Staryi Krym,-8381,7994,889,1589,5516,7105,0,37
Alupka,-1631,6877,1041,1406,4430,5836,0,45

,Week 38
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-163884,310289,2829,20975,286485,307460,0,116
Kerch,-24588,138761,1167,8297,129297,137594,0,37
Yevpatoria,-25026,97495,180,4066,93249,97315,0,7
Yalta,-47813,71418,40,2824,68554,71378,0,3
Feodosia,-16015,61291,26,2268,58997,61265,0,0
Dzhankoy,-13263,35666,12,1312,34342,35654,0,0
Alushta,-22962,26937,1,922,26014,26936,0,0
Bakhchysarai,-12757,24073,40,793,23240,24033,0,1
Krasnoperekopsk,-13154,22111,27,697,21387,22084,0,1
Saky,-12146,21769,88,652,21029,21681,0,3
Armyansk,-13590,19676,73,710,18893,19603,0,0
Sudak,-9337,15211,432,599,14180,14779,0,22
Belogorsk,-17983,14324,746,991,12587,13578,0,24
Shcholkine,-4679,9346,1095,1791,6460,8251,0,54
Staryi Krym,-8915,7967,635,1608,5724,7332,0,33
Alupka,-2380,6860,811,1344,4705,6049,0,35

,Week 39
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-151340,310151,2472,19649,288030,307679,0,101
Kerch,-18875,138789,994,7783,130012,137795,0,35
Yevpatoria,-20340,97489,134,4134,93221,97355,0,5
Yalta,-44284,71262,27,2852,68383,71235,0,3
Feodosia,-12978,61348,17,2283,59048,61331,0,1
Dzhankoy,-11492,35637,5,1372,34260,35632,0,0
Alushta,-21617,26871,1,937,25933,26870,0,0
Bakhchysarai,-11596,24058,14,816,23228,24044,0,1
Krasnoperekopsk,-12077,22111,10,664,21437,22101,0,0
Saky,-11150,21771,39,635,21097,21732,0,3
Armyansk,-12683,19682,32,662,18988,19650,0,1
Sudak,-9030,15228,213,534,14481,15015,0,7
Belogorsk,-18050,14360,479,822,13059,13881,0,18
Shcholkine,-5361,9359,1126,1256,6977,8233,0,41
Staryi Krym,-9184,7896,592,1564,5740,7304,0,19
Alupka,-2889,6785,599,1371,4815,6186,0,27

,Week 40
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-138428,309909,2209,18444,289256,307700,0,93
Kerch,-12979,138708,888,7361,130459,137820,0,35
Yevpatoria,-15606,97509,112,4149,93248,97397,0,5
Yalta,-40749,71291,14,2880,68397,71277,0,1
Feodosia,-9928,61347,12,2332,59003,61335,0,0
Dzhankoy,-9716,35641,2,1417,34222,35639,0,0
Alushta,-20274,26843,0,966,25877,26843,0,0
Bakhchysarai,-10407,24109,6,831,23272,24103,0,0
Krasnoperekopsk,-10982,22119,2,688,21429,22117,0,1
Saky,-10103,21767,15,647,21105,21752,0,1
Armyansk,-11733,19679,11,633,19035,19668,0,0
Sudak,-8493,15213,109,493,14611,15104,0,4
Belogorsk,-17835,14314,259,694,13361,14055,0,8
Shcholkine,-6076,9346,935,824,7587,8411,0,37
Staryi Krym,-9410,7826,698,1350,5778,7128,0,33
Alupka,-3178,6814,503,1419,4892,6311,0,19

,Week 41
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-125252,309836,1976,17408,290452,307860,0,98
Kerch,-6976,138761,849,6995,130917,137912,0,23
Yevpatoria,-10848,97446,88,4157,93201,97358,0,4
Yalta,-37199,71225,16,2929,68280,71209,0,1
Feodosia,-6874,61451,4,2362,59085,61447,0,1
Dzhankoy,-7936,35576,2,1402,34172,35574,0,0
Alushta,-18932,26734,0,1002,25732,26734,0,0
Bakhchysarai,-9208,24039,3,865,23171,24036,0,0
Krasnoperekopsk,-9878,22170,0,693,21477,22170,0,0
Saky,-9030,21728,5,663,21060,21723,0,0
Armyansk,-10760,19710,5,602,19103,19705,0,0
Sudak,-7846,15259,49,466,14744,15210,0,3
Belogorsk,-17391,14274,141,602,13531,14133,0,5
Shcholkine,-6590,9311,665,576,8070,8646,0,30
Staryi Krym,-9752,7772,709,1046,6017,7063,0,32
Alupka,-3366,6805,496,1411,4898,6309,0,15

,Week 42
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-111835,309642,1793,16394,291455,307849,0,76
Kerch,-930,138740,783,6622,131335,137957,0,34
Yevpatoria,-6068,97523,76,4203,93244,97447,0,1
Yalta,-33655,71294,19,2984,68291,71275,0,0
Feodosia,-3805,61504,3,2423,59078,61501,0,0
Dzhankoy,-6159,35577,1,1418,34158,35576,0,0
Alushta,-17595,26696,0,1033,25663,26696,0,0
Bakhchysarai,-8009,24049,0,887,23162,24049,0,0
Krasnoperekopsk,-8769,22155,0,709,21446,22155,0,0
Saky,-7949,21788,3,668,21117,21785,0,0
Armyansk,-9780,19664,3,579,19082,19661,0,0
Sudak,-7135,15274,25,446,14803,15249,0,0
Belogorsk,-16826,14195,73,550,13572,14122,0,4
Shcholkine,-6823,9260,429,423,8408,8831,0,16
Staryi Krym,-10108,7676,613,798,6265,7063,0,22
Alupka,-3546,6757,551,1308,4898,6206,0,24

,Week 43
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-98235,309454,1443,15708,292303,308011,0,71
Kerch,5179,138886,633,6425,131828,138253,5,38
Yevpatoria,-1272,97338,63,4191,93084,97275,0,1
Yalta,-30110,71162,10,2996,68156,71152,0,0
Feodosia,-733,61552,3,2476,59073,61549,0,0
Dzhankoy,-4381,35657,1,1429,34227,35656,0,0
Alushta,-16260,26744,0,1019,25725,26744,0,0
Bakhchysarai,-6807,24016,0,894,23122,24016,0,0
Krasnoperekopsk,-7662,22220,0,767,21453,22220,0,0
Saky,-6863,21787,3,704,21080,21784,0,0
Armyansk,-8800,19656,2,566,19088,19654,0,0
Sudak,-6397,15259,7,429,14823,15252,0,0
Belogorsk,-16193,14153,37,503,13613,14116,0,1
Shcholkine,-6810,9220,239,341,8640,8981,0,11
Staryi Krym,-10368,7643,438,624,6581,7205,0,22
Alupka,-3787,6748,644,1091,5013,6104,0,31

,Week 44
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-84278,309105,965,15310,292830,308140,0,48
Kerch,11448,138751,501,6278,131972,138250,11,25
Yevpatoria,3525,97389,46,4212,93131,97343,3,0
Yalta,-26563,71333,9,3020,68304,71324,0,0
Feodosia,2338,61633,8,2507,59118,61625,2,0
Dzhankoy,-2599,35652,0,1427,34225,35652,0,0
Alushta,-14923,26784,1,1038,25745,26783,0,0
Bakhchysarai,-5606,24004,0,924,23080,24004,0,0
Krasnoperekopsk,-6551,22235,0,793,21442,22235,0,0
Saky,-5777,21753,2,711,21040,21751,0,0
Armyansk,-7819,19566,2,572,18992,19564,0,0
Sudak,-5642,15280,2,418,14860,15278,0,0
Belogorsk,-15524,14146,18,480,13648,14128,0,3
Shcholkine,-6600,9236,129,308,8799,9107,0,8
Staryi Krym,-10445,7684,306,493,6885,7378,0,6
Alupka,-4126,6690,621,855,5214,6069,0,33

,Week 45
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-69836,309152,581,15001,293570,308571,0,19
Kerch,17842,138597,362,6213,132022,138235,17,14
Yevpatoria,8338,97501,40,4302,93159,97461,8,0
Yalta,-23005,71322,9,3063,68250,71313,0,0
Feodosia,5407,61593,5,2509,59079,61588,5,0
Dzhankoy,-817,35642,0,1446,34196,35642,0,0
Alushta,-13585,26761,1,1089,25671,26760,0,0
Bakhchysarai,-4406,23974,0,937,23037,23974,0,0
Krasnoperekopsk,-5439,22177,0,796,21381,22177,0,0
Saky,-4691,21714,2,737,20975,21712,0,0
Armyansk,-6843,19550,1,569,18980,19549,0,0
Sudak,-4880,15314,1,410,14903,15313,0,0
Belogorsk,-14835,14113,12,453,13648,14101,0,0
Shcholkine,-6274,9235,54,283,8898,9181,0,5
Staryi Krym,-10382,7714,177,397,7140,7537,0,10
Alupka,-4443,6680,519,660,5501,6161,0,32

,Week 46
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-54988,308960,316,14817,293827,308644,0,10
Kerch,24368,138500,215,6136,132149,138285,24,11
Yevpatoria,13158,97600,32,4305,93263,97568,13,0
Yalta,-19449,71294,6,3088,68200,71288,0,0
Feodosia,8473,61622,3,2527,59092,61619,8,0
Dzhankoy,964,35690,0,1454,34236,35690,0,0
Alushta,-12248,26758,1,1100,25657,26757,0,0
Bakhchysarai,-3207,23964,0,954,23010,23964,0,0
Krasnoperekopsk,-4330,22169,0,807,21362,22169,0,0
Saky,-3607,21687,0,778,20909,21687,0,0
Armyansk,-5867,19622,2,587,19033,19620,0,0
Sudak,-4115,15273,0,412,14861,15273,0,0
Belogorsk,-14142,14125,5,444,13676,14120,0,0
Shcholkine,-5869,9246,21,270,8955,9225,0,0
Staryi Krym,-10183,7728,121,338,7269,7607,0,3
Alupka,-4654,6640,396,543,5701,6244,0,12

,Week 47
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-39872,309042,173,14651,294218,308869,0,6
Kerch,31036,138483,131,6112,132240,138352,31,3
Yevpatoria,17986,97554,22,4343,93189,97532,18,0
Yalta,-15890,71154,8,3104,68042,71146,0,0
Feodosia,11540,61683,3,2532,59148,61680,11,0
Dzhankoy,2747,35599,0,1469,34130,35599,2,0
Alushta,-10911,26760,0,1081,25679,26760,0,1
Bakhchysarai,-2009,23953,0,984,22969,23953,0,0
Krasnoperekopsk,-3221,22069,0,840,21229,22069,0,0
Saky,-2523,21745,0,799,20946,21745,0,0
Armyansk,-4888,19644,1,603,19040,19643,0,0
Sudak,-3352,15366,0,414,14952,15366,0,0
Belogorsk,-13441,14123,3,430,13690,14120,0,0
Shcholkine,-5428,9235,8,256,8971,9227,0,1
Staryi Krym,-9923,7707,68,308,7331,7639,0,4
Alupka,-4738,6610,264,464,5882,6346,0,10

,Week 48
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-24601,308945,91,14481,294373,308854,0,1
Kerch,37785,138348,81,6148,132119,138267,37,3
Yevpatoria,22819,97560,12,4376,93172,97548,22,0
Yalta,-12341,71266,10,3087,68169,71256,0,0
Feodosia,14607,61640,4,2592,59044,61636,14,0
Dzhankoy,4523,35650,0,1488,34162,35650,4,0
Alushta,-9573,26713,0,1094,25619,26713,0,0
Bakhchysarai,-811,23978,0,976,23002,23978,0,0
Krasnoperekopsk,-2118,22086,0,840,21246,22086,0,0
Saky,-1436,21747,0,834,20913,21747,0,0
Armyansk,-3906,19720,1,611,19108,19719,0,0
Sudak,-2583,15384,0,410,14974,15384,0,0
Belogorsk,-12738,14026,1,426,13599,14025,0,0
Shcholkine,-4975,9234,2,248,8984,9232,0,0
Staryi Krym,-9609,7706,33,278,7395,7673,0,0
Alupka,-4685,6589,153,405,6031,6436,0,4

,Week 49
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,-9250,308821,41,14449,294331,308780,0,1
Kerch,44572,138273,35,6109,132129,138238,44,2
Yevpatoria,27657,97694,11,4385,93298,97683,27,0
Yalta,-8788,71179,7,3095,68077,71172,0,1
Feodosia,17668,61659,3,2595,59061,61656,17,0
Dzhankoy,6299,35707,1,1503,34203,35706,6,0
Alushta,-8238,26728,0,1110,25618,26728,0,0
Bakhchysarai,387,23942,0,985,22957,23942,0,0
Krasnoperekopsk,-1014,22104,0,840,21264,22104,0,0
Saky,-348,21776,0,843,20933,21776,0,0
Armyansk,-2921,19726,0,623,19103,19726,0,0
Sudak,-1814,15401,0,432,14969,15401,0,0
Belogorsk,-12038,13991,0,417,13574,13991,0,0
Shcholkine,-4515,9162,1,234,8927,9161,0,0
Staryi Krym,-9259,7708,17,256,7435,7691,0,0
Alupka,-4517,6591,92,361,6138,6499,0,3

,Week 50
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,6141,308647,12,14345,294290,308635,6,0
Kerch,51398,138263,10,6080,132173,138253,51,2
Yevpatoria,32499,97690,7,4382,93301,97683,32,0
Yalta,-5237,71165,3,3132,68030,71162,0,1
Feodosia,20728,61655,3,2604,59048,61652,20,0
Dzhankoy,8076,35774,1,1499,34274,35773,8,0
Alushta,-6901,26712,0,1128,25584,26712,0,0
Bakhchysarai,1583,24029,0,1007,23022,24029,1,0
Krasnoperekopsk,90,22070,0,865,21205,22070,0,0
Saky,739,21778,0,860,20918,21778,0,0
Armyansk,-1935,19808,0,662,19146,19808,0,0
Sudak,-1044,15372,0,447,14925,15372,0,0
Belogorsk,-11339,14002,0,413,13589,14002,0,0
Shcholkine,-4058,9120,1,219,8900,9119,0,0
Staryi Krym,-8891,7684,8,235,7441,7676,0,1
Alupka,-4284,6562,45,307,6210,6517,0,0

